company_a,company_b,similarity_score,decision,canonical_name
unigel,unigel participacoes s/a,100.0,reject,
uniper global commodities se,uniper se,100.0,reject,
tomoe,tomoe works,100.0,reject,
vale,vale inco sudbury,100.0,reject,
sk,sk kaken,100.0,reject,
sk,sk innovation,100.0,reject,
sk,sk if technology,100.0,reject,
shandong iron & steel,shandong iron and steel,100.0,approve,shandong iron and steel
sanko,sanko metal industrial,100.0,reject,
toshiba,toshiba mitsubishi-electric industrial systems,100.0,reject,
tokyo rope manufacturing,tokyo steel manufacturing,100.0,reject,
sapura energy bhd,sapura industrial bhd,100.0,reject,
zhejiang cenway new materials,zhejiang power new energy,100.0,reject,
wpd,wpd malleco,100.0,reject,
xinjiang tianfu,xinjiang tianfu energy,100.0,reject,
yamato,yamato kogyo,100.0,reject,
ypf,ypf energia electrica,100.0,reject,
yunnan copper,yunnan copper industry,100.0,reject,
yunnan tin,yunnan tin group holding,100.0,reject,
zhejiang huahong new materials,zhejiang power new energy,100.0,reject,
tokyo radiator manufacturing,tokyo steel manufacturing,100.0,reject,
vitol,vitol asia pte,100.0,reject,
vietnam - italy steel jsc,vietnam italy steel jsc,100.0,approve,vietnam italy steel jsc
vedanta,vedanta td,100.0,approve,vedanta
towa,towa refractory engineering,100.0,reject,
tokyo electron,tokyo electron device,100.0,reject,
tokyo printing ink manufacturing,tokyo steel manufacturing,100.0,reject,
sanko,sanko seisakusyo,100.0,reject,
sato,sato kogyo s pte,100.0,reject,
wonik,wonik materials,100.0,reject,
saic volkswagen automotive,volkswagen,100.0,reject,
powerchip semiconductor manufacturing,semiconductor manufacturing international,100.0,reject,
ptt exploration & production pcl,ptt pcl,100.0,reject,
ptt global chemical pcl,ptt pcl,100.0,reject,
ptt oil & retail business pcl,ptt pcl,100.0,reject,
qingdao copton technology,qingdao copton technology co lill,100.0,approve,qingdao copton technology
qinhuangdao shougang machinery,qinhuangdao shougang plate mill,100.0,reject,
qinhuangdao shougang machinery,shougang,100.0,reject,
power construction corp of china,state grid corp of china,100.0,reject,
qinhuangdao shougang plate mill,shougang,100.0,reject,
rechi precision,rechi qingdao precision electromechanical,100.0,reject,
renault,renault korea motors,100.0,reject,
resonac,resonac holdinger,100.0,reject,
rheinmetall,rheinmetall bae systems land,100.0,reject,
robert bosch,robert bosch automotive steering,100.0,reject,
power construction corp of china,state grid corp of chirra,100.0,reject,
qingdao seah precision metal,seah,100.0,reject,
sato,sato shoji,100.0,reject,
semiconductor manufacturing international,taiwan semiconductor manufacturing,100.0,reject,
sato,watanabe sato,100.0,reject,
schaeffler,schaeffler india,100.0,reject,
screen,tsuchiya screen kk,100.0,reject,
seah,seah besteel,100.0,reject,
seah,seah precision mexico sa de cv,100.0,reject,
seah,seah special steel,100.0,reject,
seoyon e-hwa,seoyon e-hwa automotive slovakia sro,100.0,reject,
samil,samil c&s,100.0,reject,
seoyon e-hwa,seoyon e-hwa summit automotive anantapur pvt,100.0,reject,
seres,seres group co llu,100.0,reject,
sewon,sewon e&c,100.0,reject,
sewon,solaris sewon,100.0,reject,
sanko,sanko gosei,100.0,reject,
samindo resources tbk pi,samindo resources tbk pt,100.0,approve,samindo resources tbk
wonik,wonik pne,100.0,reject,
triumph,triumph motorcycles,100.0,reject,
wonik,wonik cube,100.0,reject,
tata,tata international metals uk,100.0,reject,
hbis,hbis group hong kong,100.0,reject,
taiyo,taiyo yuden,100.0,reject,
tangshan beishiti iron & steel group fufeng steel,tangshan iron & steel,100.0,reject,
tangshan caofeidian shiye port,tangshan port,100.0,reject,
tata,tata chemicals,100.0,reject,
tata,tata hitachi construction machinery co pvt,100.0,reject,
tata,tata motors,100.0,reject,
posco,posco planted,100.0,reject,
tata,tata power co ltd/the,100.0,reject,
tata,tata sons pvt,100.0,reject,
tata,tata steel long products,100.0,reject,
tatung,tatung fine chemical,100.0,reject,
techgen,techgen sa de cv,100.0,reject,
ternium,ternium argentina,100.0,reject,
potevio,potevio new energy,100.0,reject,
kintetsu,kintetsu world express,100.0,reject,
thyssenkrupp,thyssenkrupp materials & services,100.0,reject,
jinneng holding coal,jinneng holding shanxi coal industry,100.0,reject,
international aero engines,sinternational aero engines,100.0,approve,international aero engines
j resources asia pasific tbk pt,resources asia pasific tbk pt,100.0,approve,J Resources Asia Pasifik Tbk
jfe,jfe systems,100.0,reject,
jiangsu tongda power technology,tongda,100.0,reject,
jiangsu yueda kia motors,kia,100.0,reject,
jilin province tonghua iron & steel international trade,tonghua iron & steel,100.0,reject,
jinneng holding shanxi coal industry,shanxi coal international energy,100.0,reject,
keihin,keihin seimitsu kogyo,100.0,reject,
koatsu gas kogyo,koatsu kogyo,100.0,reject,
jiuli,zhejiang jiuli hi-tech metals,100.0,reject,
abu dhabi national energy co pjsc,abu dhabi national oil co for distribution pjsc,100.0,reject,
wijaya karya beton tbk pt,wijaya karya persero tbk pt,100.0,reject,
