node,industry,country,in_degree,out_degree,word_count,decision
ningbo ronbay new energy technology,Renewable Energy,China,3,6,5,
ninh binh thermal power jsc,Electric Utilities,Vietnam,1,0,5,
nippon corrosion engineering co ltd/the,Engineering & Construction,Japan,1,0,5,
nusa konstruksi enjiniring tbk pt,Engineering & Construction,Indonesia,2,0,5,
nvh india anantapur auto parts pvt,Automotive,India,1,0,6,
nylco mexicana sa de cv,Steel,Spain,1,0,5,
oil and gas holding co bscc/the,Oil & Gas Producers,Bahrain,1,0,6,
okinawa electric pizers co inc/the,Electric Utilities,Japan,2,0,5,
ontic engineering & manufacturing uk,Aerospace & Defense,UK,1,0,5,
orbia advance corp sab de cv,Chemicals,Mexico,7,0,6,
oriental union chemical,Chemicals,Taiwan,10,10,3,
otokar otomotiv ve savunua sanayi a s,Automotive,Turkey,2,0,7,
otransportes aereos pegaso sa de cv,Transportation & Logistics,Spain,1,0,6,
pan asia engineers & constructors,Engineering & Construction,Taiwan,1,0,5,
pangang group panzhihua steel vanadium,Steel,China,2,0,5,
pangang group vanadium titanium & resources,Steel,China,2,0,6,
panzhihua iron & steel group chengdu panel,Steel,China,1,0,7,
parque eolico cabo leones isa,Renewable Energy,Chile,1,0,5,
pelabuhan indonesia iv persero pt,Transportation & Logistics,Indonesia,3,0,5,
pelat timah nusantara tbk pt,Industrial Intermediate Prod,Indonesia,5,0,5,
peliculas plasticas sa de cv,Chemicals,Mexico,1,0,5,
perusahaan gas negara tbk pt,Gas & Water Utilities,Indonesia,9,0,5,
perusahaan perseroan persero pt perusahaan listrik negara,Electric Utilities,Indonesia,23,39,7,
perusahaan sadur timah malaysia perstima bhd,Industrial Intermediate Prod,Malaysia,2,0,6,
petroleum equipment assembly & metal structure jsc,Oil & Gas Services & Equip,Vietnam,2,2,7,
petroleum industrial & civil construction jsc,Engineering & Construction,Vietnam,1,1,6,
petroleum pipeline & tank construction jsc,Engineering & Construction,Vietnam,1,2,6,
